state,2020_accidents,2021_accidents,2022_accidents,2023_accidents,2024_accidents,2020_killed,2021_killed,2022_killed,2023_killed,2024_killed,population_2024,accidents_per_100k_population,fatalities_per_100k_population,fatalities_per_100_accidents,five_year_average_accidents,five_year_average_fatalities,fatality_years_available,accident_change_2020_to_2024,accident_percent_change_2020_to_2024,fatality_change_2020_to_2024,fatality_percent_change_2020_to_2024,accident_rank_2024,fatality_rank_2024,accident_rate_rank_2024,fatality_rate_rank_2024,vehicle_registrations_2024,vehicles_per_1000_population
Sikkim,138.0,155.0,211.0,182.0,149.0,47.0,56,92,57,67,695000,21.438848920863308,9.640287769784171,44.966442953020135,167.0,63.8,5,11.0,7.971014492753622,20.0,42.5531914893617,32.0,32.0,21.0,21.0,11671,16.792805755395683
Tamil Nadu,49844.0,55682.0,64105.0,67213.0,67526.0,14527.0,15384,17884,18347,18449,77089000,87.59485789152798,23.93207850666113,27.32132808103545,60874.0,16918.2,5,17682.0,35.47468100473477,3922.0,26.998003717216218,1.0,2.0,3.0,1.0,1953405,25.33960746669434
Telangana,19172.0,21315.0,21619.0,22903.0,25986.0,6882.0,7557,7559,7660,7949,38272000,67.89820234113712,20.769753344481607,30.58954821827138,22199.0,7521.4,5,6814.0,35.54141456290424,1067.0,15.504213891310664,7.0,9.0,6.0,3.0,1026491,26.820939590301005
Tripura,466.0,479.0,575.0,577.0,578.0,192.0,194,241,261,226,4184000,13.81453154875717,5.401529636711281,39.10034602076124,535.0,222.8,5,112.0,24.034334763948497,34.0,17.708333333333336,25.0,24.0,26.0,33.0,63665,15.216300191204589
Uttarakhand,1041.0,1405.0,1674.0,1691.0,1747.0,674.0,820,1042,1054,1090,11755000,14.861760952786048,9.272649936197364,62.39267315397825,1511.6,936.0,5,706.0,67.81940441882806,416.0,61.72106824925816,23.0,20.0,25.0,23.0,281788,23.971756699276906
Uttar Pradesh,34243.0,37729.0,41746.0,44534.0,46052.0,19149.0,21227,22595,23652,24118,238078000,19.343240450608626,10.130293433244567,52.37123251976027,40860.8,22148.2,5,11809.0,34.485880325906024,4969.0,25.94913572510314,4.0,1.0,23.0,20.0,3757843,15.784083367635818
West Bengal,10863.0,11937.0,13686.0,13795.0,13702.0,5128.0,5800,6002,6027,6676,99563000,13.76214055422195,6.70530217048502,48.72281418770982,12796.6,5926.6,5,2839.0,26.134585289514867,1548.0,30.18720748829953,12.0,12.0,27.0,29.0,1184916,11.901168104617176
Andaman & Nicobar Islands,141.0,115.0,141.0,143.0,135.0,14.0,20,19,24,29,404000,33.41584158415842,7.1782178217821775,21.48148148148148,135.0,21.2,5,-6.0,-4.25531914893617,15.0,107.14285714285714,33.0,35.0,12.0,26.0,8460,20.940594059405942
Chandigarh,159.0,208.0,237.0,182.0,169.0,53.0,96,83,67,75,1243000,13.596138374899438,6.033789219629928,44.37869822485207,191.0,74.8,5,10.0,6.289308176100629,22.0,41.50943396226416,30.0,30.0,28.0,31.0,46398,37.32743362831859
Dadra & Nagar Haveli and Daman & Diu,100.0,140.0,196.0,182.0,152.0,64.0,76,90,74,95,1356000,11.2094395280236,7.005899705014749,62.5,154.0,79.8,5,52.0,52.0,31.0,48.4375,31.0,29.0,30.0,28.0,24202,17.848082595870206
N.C.T of Delhi,4178.0,4720.0,5652.0,5834.0,5657.0,1196.0,1239,1461,1457,1551,21752000,26.006803972048548,7.130378815741081,27.417359024217784,5208.2,1380.8,5,1479.0,35.399712781235046,355.0,29.68227424749164,19.0,19.0,18.0,27.0,711069,32.689821625597645
Jammu & Kashmir,4860.0,5452.0,6092.0,6298.0,5808.0,728.0,774,805,893,831,13701000,42.39106634552223,6.065250711626889,14.307851239669422,5702.0,806.2,5,948.0,19.50617283950617,103.0,14.148351648351648,18.0,22.0,10.0,30.0,179387,13.092985913436975
Ladakh,,236.0,374.0,289.0,264.0,,56,62,59,61,302000,87.41721854304636,20.198675496688743,23.10606060606061,290.75,59.5,4,,,,,29.0,34.0,4.0,4.0,5437,18.003311258278146
Lakshadweep,1.0,4.0,3.0,1.0,0.0,0.0,1,2,0,0,69000,0.0,0.0,,1.8,0.6,5,-1.0,-100.0,0.0,,36.0,36.0,36.0,36.0,576,8.347826086956522
Puducherry,969.0,1049.0,1181.0,1308.0,1431.0,145.0,140,181,149,218,1683000,85.02673796791444,12.953060011883542,15.234102026554858,1187.6,166.6,5,462.0,47.6780185758514,73.0,50.3448275862069,24.0,25.0,5.0,13.0,65458,38.89364230540701
