model,vehicle_coefficient,vehicle_p_value_HC3,road_coefficient,road_p_value_HC3
Accident rate,2.486362268117368,0.032924806805416276,-0.032321452415461555,0.9772839870490431
Log accident rate,0.05147748050865816,0.0009270882693814331,-0.0165883883476063,0.17562635981701008
Fatality rate,0.29232535867687315,0.005194258225607382,-0.11764831394222035,0.397155443709343
Log fatality rate,0.027021425883410135,0.01889236761750038,-0.014835023335004034,0.5112339247126259
