Outcome,Variable,Coefficient,Robust_SE,t_value,p_value,R2,Adjusted_R2
Log accident rate,const,2.171292374767642,0.22411885760102543,9.688128870587763,3.386762989736369e-22,0.4630925267269367,0.40755037431937846
Log accident rate,vehicles_per_1000_population,0.06326145797230817,0.00872526563905259,7.250376159226856,4.156157381362997e-13,0.4630925267269367,0.40755037431937846
Log accident rate,road_length_per_1000_population,-0.02729284617744314,0.0143418851743203,-1.9030166429105175,0.05703837361470345,0.4630925267269367,0.40755037431937846
Log accident rate,population_density_2011,-0.00012944402558554086,8.790392332312227e-05,-1.4725625511585314,0.1408690288707328,0.4630925267269367,0.40755037431937846
Log fatality rate,const,1.7578015107033902,0.39889960351082643,4.40662636721744,1.0499306587804222e-05,0.4495521311806583,0.39260924819934706
Log fatality rate,vehicles_per_1000_population,0.037165618156253126,0.01671262338849455,2.223805161662352,0.026161555976730717,0.4495521311806583,0.39260924819934706
Log fatality rate,road_length_per_1000_population,-0.024060679131750577,0.030693272168649987,-0.7839072680014247,0.4330945248031747,0.4495521311806583,0.39260924819934706
Log fatality rate,population_density_2011,-0.00011108971954808346,5.2261183520992484e-05,-2.1256640600850627,0.033531241496178636,0.4495521311806583,0.39260924819934706
