Outcome,Variable,Coefficient,Robust_SE,t_value,p_value,R2,Adjusted_R2
Accident rate,const,-18.525522607363254,19.348233003923585,-0.9574787839078899,0.33832564995267345,0.5035516047223816,0.4539067651946197
Accident rate,vehicles_per_1000_population,2.970512765236087,1.0025186667219605,2.9630498302331683,0.0030460725338705666,0.5035516047223816,0.4539067651946197
Accident rate,road_length_per_1000_population,-0.5668261350692105,0.7690122106917862,-0.7370834002223533,0.46107163321633426,0.5035516047223816,0.4539067651946197
Accident rate,population_density_2011,-0.00575111282648944,0.0029843296840976613,-1.9271037168362786,0.0539667056429866,0.5035516047223816,0.4539067651946197
Fatality rate,const,5.2923676470573255,3.004264308510924,1.7616185207354507,0.07813377258881818,0.4843763916560295,0.4328140308216324
Fatality rate,vehicles_per_1000_population,0.38931333133068596,0.1343434496771989,2.897895894932949,0.00375675266998841,0.4843763916560295,0.4328140308216324
Fatality rate,road_length_per_1000_population,-0.2242282432335312,0.21977995177337933,-1.020239750824673,0.3076147694863818,0.4843763916560295,0.4328140308216324
Fatality rate,population_density_2011,-0.0012319398738670354,0.0005333044715832745,-2.3100122716197222,0.020887474738200938,0.4843763916560295,0.4328140308216324
